Column,Missing Count,Missing %
attributes.Average Garland Height,27679,99.996387283237
attributes.Open Text 3,27677,99.98916184971098
attributes.Arch Size,27677,99.98916184971098
attributes.Average Spike Size,27675,99.98193641618496
attributes.Boutonniere Recipe,27674,99.97832369942196
attributes.Wedding Bouquet Recipe,27674,99.97832369942196
attributes.Open Text 2,27672,99.97109826589595
attributes.Average Globe Size,27671,99.96748554913295
attributes.Foams Purpose,27670,99.96387283236994
attributes.Average Diameter,27664,99.94219653179191
attributes.Average Width,27655,99.90968208092485
attributes.PDF Recipe,27655,99.90968208092485
attributes.Garland & Wreath Height,27650,99.89161849710982
attributes.Average Pod Width,27645,99.8735549132948
attributes.Average Branch Length,27642,99.86271676300578
attributes.Branches Per Bunch,27642,99.86271676300578
attributes.Average Total Length,27633,99.83020231213872
attributes.Average Leaf Width,27623,99.79407514450868
attributes.Average Bloom Size,27620,99.78323699421965
attributes.Average Corsage Height,27616,99.76878612716763
attributes.Average Leaf Length,27606,99.73265895953757
attributes.Additional Info 7,27590,99.67485549132948
attributes.Additional Info 8,27590,99.67485549132948
attributes.Faux Stem Length,27575,99.62066473988439
attributes.Additional Info 6,27560,99.56647398843931
attributes.Blooms Per Pack,27556,99.55202312138728
attributes.Material,27547,99.51950867052022
attributes.Minimony Package Includes,27540,99.4942196531792
attributes.Intimate Package Includes,27540,99.4942196531792
attributes.Vases Included,27508,99.378612716763
attributes.Wreath Diameter,27487,99.30274566473989
attributes.Supplies Product Type,27468,99.23410404624278
attributes.Average Bloom Height,27440,99.13294797687861
attributes.Average Boutonniere & Corsage Height,27411,99.02817919075144
attributes.Bouquet Recipe,27404,99.0028901734104
attributes.Average Length,27403,98.99927745664739
attributes.Recipe Kit - Ready To Go,27398,98.98121387283237
attributes.Average Bloom Width,27395,98.97037572254335
attributes.Delivery Date,27390,98.95231213872833
attributes.Number of Stems,27323,98.71026011560694
attributes.Cups Per Pack,27165,98.13945086705202
attributes.Open Text 1,27072,97.80346820809248
attributes.Average Garland Length,26980,97.47109826589595
attributes.Garland Length,26948,97.35549132947978
attributes.Average Centerpiece Width,26931,97.29407514450867
attributes.Average Centerpiece Height,26931,97.29407514450867
attributes.Average Boutonniere Height,26909,97.21459537572255
attributes.Package Breakdown,26866,97.0592485549133
attributes.Coverage Area,26810,96.85693641618496
attributes.Average Bridal Bouquet Width,26785,96.76661849710982
attributes.Recipe,26766,96.6979768786127
attributes.Average Bridal Bouquet Height,26720,96.53179190751445
attributes.Additional Info 5,26712,96.5028901734104
attributes.Additional Info 4,26333,95.13367052023122
attributes.Average Garland Width,26257,94.85910404624278
attributes.Related Product,25718,92.91184971098266
Option value (variant ID reference),25681,92.77817919075144
attributes.Line Recipe,25089,90.63945086705202
attributes.DIY Kit Type,24587,88.82586705202313
attributes.Recipe Details,24551,88.69580924855491
attributes.Recipe description,24188,87.38439306358381
attributes.Additional Info 3,23816,86.04046242774567
attributes.Tinted Flowers,23623,85.34320809248554
attributes.Greens Recipe,21484,77.61560693641619
attributes.Filler Recipe,21368,77.19653179190752
attributes.Vases Not Included,21181,76.52095375722543
attributes.Size Breakdown,20670,74.67485549132948
attributes.Focal Recipe,20289,73.29841040462428
attributes.Type Description,19678,71.09104046242774
attributes.Scent,18643,67.35187861271676
Option value ID,17747,64.11488439306359
Option value type,17747,64.11488439306359
Option value default,17747,64.11488439306359
Option value status,17747,64.11488439306359
Option value label,17747,64.11488439306359
Option label,17710,63.98121387283236
Option ID,17709,63.97760115606936
attributes.Additional Info 2,15894,57.42052023121387
attributes.Blooms Per Stem,13570,49.02456647398844
attributes.Color Description,13018,47.03034682080925
attributes.Symbolism,13011,47.00505780346821
attributes.Stems Per Bunch,12515,45.21315028901734
attributes.Additional Info 1,10414,37.622832369942195
attributes.SEO Description,8380,30.27456647398844
attributes.Average Stem Length,6194,22.377167630057805
Tags (by semicolon),5953,21.506502890173408
attributes.Expected Vase Life,3136,11.329479768786127
attributes.Holiday Occasion,1952,7.0520231213872835
attributes.DIY Level,1792,6.473988439306358
attributes.Recipe metafield,1779,6.4270231213872835
attributes.Recommended Delivery Date,1443,5.213150289017341
attributes.Product Type - All Flowers,1414,5.108381502890174
attributes.Product Type,1390,5.021676300578035
attributes.Shopify Tags,1378,4.978323699421965
attributes.Shopify Type,1365,4.93135838150289
attributes.Availability,1302,4.7037572254335265
Colors (by semicolon),1012,3.65606936416185
attributes.Seasonality,844,3.0491329479768785
Buyer,712,2.5722543352601157
attributes.SEO Title,679,2.453034682080925
attributes.Fallback Lead Days,674,2.4349710982658963
Variant measure units,447,1.614884393063584
attributes.Fallback Max Units per Day,339,1.2247109826589597
attributes.Description,69,0.24927745664739884
Variant ID,4,0.014450867052023123
Variant name,4,0.014450867052023123
Variant units,4,0.014450867052023123
Variant status,4,0.014450867052023123
Variant price,4,0.014450867052023123
Weekdays (by semicolon),0,0.0
Product name,0,0.0
Seasonality (by semicolon),0,0.0
Product status,0,0.0
Group,0,0.0
Variant command,0,0.0
Subgroup,0,0.0
Option value command,0,0.0
Option value price,0,0.0
Option command,0,0.0
Product ID,0,0.0
Hash version,0,0.0
Product command,0,0.0
